Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume
Date,,,,,
2012-05-18,15.513402446137876,15.695066493322884,14.80858608204073,14.900410652160645,239835606
2012-05-21,14.903140674721696,15.279870283418424,14.890483212127918,15.240657806396484,123477094
2012-05-22,15.224030602051366,15.233212013426511,14.791213814444172,14.910337448120117,122533571
2012-05-23,14.931432012893534,15.128731639090946,14.819009606961082,15.125256538391113,127600492
2012-05-24,15.117810951766316,15.186307589359442,14.86243999378094,14.981315612792969,75935562
2012-05-25,14.915300870041532,14.933417575732143,14.599621668334857,14.680279731750488,143813034
2012-05-29,14.786497641081457,14.868890877771284,14.600615397460826,14.750016212463379,104618672
2012-05-30,14.596644920941122,14.689461562896625,14.481740436389112,14.598381996154785,76553871
2012-05-31,14.610541395259995,14.642307633243874,14.369316020744348,14.415475845336914,119177037
2012-06-01,14.190382251156755,14.21172508862075,14.105009951040874,14.170279502868652,122774470
2012-06-04,14.151418327786544,14.406295148571866,14.146207102271527,14.35914134979248,97672734
2012-06-05,14.281214471842686,14.34772506626113,14.058353806815541,14.156134605407715,93946821
2012-06-06,14.306776452216226,14.443023773466315,14.23555066798716,14.408279418945312,84146223
2012-06-07,14.582746375519974,14.589943643994808,14.325885423267712,14.35020637512207,70603652
2012-06-08,14.291141616729151,14.418951578025613,14.259622444935527,14.405301094055176,56627461
2012-06-11,14.498614362776687,14.526162397623551,14.063812487213877,14.108732223510742,106842978
2012-06-12,14.140251489483623,14.153404988156838,13.862543711253917,14.024353981018066,129451404
2012-06-13,13.940470786300734,14.071507837318752,13.865025844978836,13.924836158752441,78460993
2012-06-14,13.930046671075672,14.023608314237237,13.811419071289363,13.874207496643066,94147570
2012-06-15,13.906222256753333,14.009959279985196,13.825565146134764,14.009710311889648,120497969
2012-06-18,13.962806254379105,14.250441391682736,13.879171974851905,14.167055130004883,100250360
2012-06-19,14.235055353723114,14.500353691073594,14.223390912256068,14.432106018066406,83359284
2012-06-20,14.389418547310875,14.394133737141834,14.23306847805511,14.332338333129883,94219840
2012-06-21,14.390161535952226,14.390161535952226,13.990352048426976,14.027082443237305,80753554
2012-06-22,14.096324340648447,14.182689666748047,14.042222240477303,14.182689666748047,89450029
2012-06-25,14.079696726507542,14.098557486103383,13.832018120938299,13.915156364440918,63501129
2012-06-26,13.966280488303855,14.061579202915738,13.884878374472573,14.013930320739746,54210435
2012-06-27,14.088879206273377,14.244980310980996,14.04718655037921,14.128586769104004,67945726
2012-06-28,14.044207884438443,14.052397224481602,13.828543543429484,14.00474739074707,77124000
2012-06-29,14.269054218804294,14.397360219779484,14.200558530277295,14.39587116241455,101157748
2012-07-02,14.439301272629665,14.468585432808242,14.30727215833523,14.405797958374023,66468209
2012-07-03,14.39438264996536,14.602849738687919,14.344499701481677,14.588455200195312,47758342
2012-07-05,14.61153552727907,14.8919733976174,14.606075333515362,14.789228439331055,94187720
2012-07-06,14.70311168068528,14.729665744449163,14.464119405250706,14.542542457580566,86796118
2012-07-09,14.516980277967098,14.607564755841041,14.425155710887426,14.543286323547363,68861145
2012-07-10,14.64702432047891,14.702615480199809,14.362864274394582,14.436325073242188,77212330
2012-07-11,14.302309227731602,14.340776700592293,14.020382306010259,14.175492286682129,140496649
2012-07-12,14.074484988025564,14.193856639279616,13.949652193006528,14.15787124633789,92738308
2012-07-13,14.199316601719358,14.373039328203971,14.109974109698108,14.307768821716309,79336261
2012-07-16,14.304047037022178,14.374032735352667,14.190135570448712,14.268062591552734,58723287
2012-07-17,14.355170296362331,14.410761453476434,14.106250653708669,14.312981605529785,67455897
2012-07-18,14.319183776576015,14.485709216978863,14.298089907948274,14.412993431091309,62160121
2012-07-19,14.54651264644498,14.852760519454002,14.543038496103595,14.718250274658203,187688877
2012-07-20,15.10788309231565,15.211621066960841,14.845314874063389,15.159008026123047,259517101
2012-07-23,14.902394650757017,15.345882841676888,14.847052465056114,15.27540111541748,143002005
2012-07-24,15.262746126805368,15.335460971060145,14.998191846670263,15.078352928161621,80677269
2012-07-25,15.096964017324387,15.222539910232191,15.023752195114692,15.088773727416992,73193322
2012-07-26,15.26274552855325,15.309153373585012,15.139402737692267,15.222044944763184,67660662
2012-07-27,15.35928497711047,15.759094488356821,15.324789591471095,15.758102416992188,142520206
